癤�Area	Line	Station	Date(YYYY-MM-DD)	Latitude	Longitude	Vertical change chart	Depth(m)	Water Temperature(℃)	T QC flag	Salinity(psu)	S QC flag	DO(ml/L)	D QC flag	QC Level	PO４(μmol/L)	NO２(μmol/L)	NO３(μmol/L)	SiO２(μmol/L)	pH	Water Transparency(m)	Baro(hPa)	Research Vessel
East Sea	102	00	2024-03-04 08:34	36.0767	129.5883	Chart	0	12.2	2	34.29	2		2	0						5	1,011	TAMGU 3
East Sea	102	00	2024-03-04 08:34	36.0767	129.5883	Chart	10	12.2	2	34.34	2		2	0						5	1,011	TAMGU 3
East Sea	102	00	2024-03-04 08:34	36.0767	129.5883	Chart	20	12.2	2	34.34	2		2	0						5	1,011	TAMGU 3
East Sea	102	00	2024-03-04 08:34	36.0767	129.5883	Chart	30	10.1	2	34.19	2		2	0						5	1,011	TAMGU 3
East Sea	102	00	2024-04-18 10:14	36.0767	129.5883	Chart	0	14.5	2	33.98	2		2	0						2.8	982	TAMGU 3
East Sea	102	00	2024-04-18 10:14	36.0767	129.5883	Chart	10	13.8	2	34.19	2		2	0						2.8	982	TAMGU 3
East Sea	102	00	2024-04-18 10:14	36.0767	129.5883	Chart	20	10.9	2	34.27	2		2	0						2.8	982	TAMGU 3
East Sea	102	00	2024-04-18 10:14	36.0767	129.5883	Chart	30	7.6	2	34.20	2		2	0						2.8	982	TAMGU 3
East Sea	102	00	2024-06-19 08:02	36.0767	129.5883	Chart	0	20.3	2	33.91	2		2	0						5	1,004	TAMGU 3
East Sea	102	00	2024-06-19 08:02	36.0767	129.5883	Chart	10	14.4	2	34.32	2		2	0						5	1,004	TAMGU 3
East Sea	102	00	2024-06-19 08:02	36.0767	129.5883	Chart	20	12.6	2	34.34	2		2	0						5	1,004	TAMGU 3
East Sea	102	00	2024-06-19 08:02	36.0767	129.5883	Chart	30	9.9	2	34.29	2		2	0						5	1,004	TAMGU 3
East Sea	102	00	2024-06-19 08:02	36.0767	129.5883	Chart	50	5.6	2	34.12	2		2	0						5	1,004	TAMGU 3
East Sea	102	04	2024-03-04 08:54	36.0767	129.615	Chart	0	12.2	2	34.33	2		2	0						6	1,003	TAMGU 3
East Sea	102	04	2024-03-04 08:54	36.0767	129.615	Chart	10	12.2	2	34.34	2		2	0						6	1,003	TAMGU 3
East Sea	102	04	2024-03-04 08:54	36.0767	129.615	Chart	20	12.1	2	34.33	2		2	0						6	1,003	TAMGU 3
